Square ID,Giờ trong ngày,Ngày trong tuần,Dự báo 24 giờ (144 bước x 10 phút),timestamp
5610,22,Thứ hai,"{""headers"": [""1"", ""2"", ""3""], ""data"": [], ""metadata"": null}",2025-06-21 17:57:09.049960
5610,22,Thứ hai,"{""headers"": [""Th\u00f4ng b\u00e1o""], ""data"": [[""L\u1ed7i: Kh\u00f4ng t\u00ecm th\u1ea5y model/scaler cho Square ID 5610: [Errno 2] No such file or directory: 'models/lstm_square_5610.pth'""]], ""metadata"": null}",2025-06-21 17:58:40.638627
